Num,Mono Heat of formation [eV/atom] ,Mono Band gap [eV] ,Energy [eV] ,Magnetic  monolayer,Number of atoms ,Number of species ,Spin axis ,Unit cell area [Å2] ,angle_with_x (degrees),z_separation,lattice_a,lattice_b,lattice_c,lattice_beta,lattice_gamma,lattice_volume,composition_average_electrons,composition_num_atoms,composition_total_electrons,composition_weight,density,Bilayer Energy (eV),Bandgap PBE,Bandgap GW
33,-1.767,0.666,-21.041,0,4,2,3,13.473,135,0.211756348,3.93194191,3.93194191,27.93148963,90,120,373.9718524,2.94,8,92,188.3356128,0.836262517,-42.49225215,0.5414,3.4349
34,-1.45,1.556,-21.857,0,4,2,3,8.5,0,0.229931635,3.119572157,3.119572157,29.2718456,90,120,246.7009423,2.625,8,156,342.8896,2.307982982,-42.76235838,1.2806,2.9889
35,-0.368,1.269,-13.688,0,4,2,3,14.904,135.0000549,0.272136267,4.153848613,4.153694386,31.72690517,90.00190553,120.0353164,473.9023725,1.955,8,332,789.292,2.76565444,-26.92308073,0.9612,2.0735
36,-0.301,0.932,-18.513,0,3,2,3,10.898,26.56505118,0.266811706,3.553699817,3.553699817,28.12031144,90,120,307.547526,2.12,6,292,702.28,3.791815173,-37.61789007,1.2405,1.7707
37,-2.21,4.902,-11.627,0,3,2,3,21.333,0,0.196392261,5.205441466,5.205441466,24.75185811,90,120,580.8360629,2.27,6,252,594.27,1.698945045,-29.30050812,4.7851,7.1375
39,-0.399,1.379,-15.267,0,3,2,3,8.289,0,0.181659518,3.089893731,3.089893731,24.97951009,90,120,206.538793,3.026666667,6,124,276.8376,2.225730301,-32.64810289,1.1715,2.3645
40,-0.402,1.587,-13.417,0,3,2,3,11.83,0,0.248454654,3.70645312,3.70645312,26.75807573,90,120,318.3482986,2.373333333,6,164,365.68,1.907426327,-26.39138067,1.7284,3.0722
41,-0.8,0.663,-38.43,0,7,3,3,11.042,45,0.224840507,3.56015641,3.56015641,53.83465163,90,120,590.9227301,2.195714286,14,232,476.1361544,1.337979816,-78.00912501,0.7564,1.2228
42,-0.57,0.862,-35.154,0,7,3,3,11.29,26.57312917,0.233863611,3.604267688,3.604267688,53.88470073,90.00306651,120.0005528,606.216515,2.252857143,14,304,647.102,1.772531966,-71.2662143,0.8845,1.521
43,-0.14,0,-33.215,0,5,2,3,11.316,0,0.285587147,3.61343653,3.61343653,31.97112793,90,120,361.5176053,1.752,10,258,581.4779,2.670870672,-90.15337261,0,0
44,-2.427,0.401,-66.151,0,7,3,3,9.078,153.4349488,0.267665824,3.247896352,3.247896352,35.4211623,90,120,323.5919898,2.421428571,14,300,667.3684,3.424656156,-147.6149092,0.2687,0.7236
45,-0.298,1.344,-13.565,0,3,2,3,12.363,0,0.241372723,3.517529751,3.517529761,27.01388787,90,90,334.2432556,2.39,6,128,273.54,1.35896192,-27.08579099,1.2481,3.2565
46,-0.224,0.729,-13.343,0,3,2,3,10.269,0,0.253099602,3.44607049,3.44607049,26.5468457,90,120,273.0183709,2.39,6,128,273.54,1.663711694,-26.63188714,0.7886,1.8759
48,-1.979,0.912,-27.388,0,3,2,3,6.889,26.56505118,0.214275699,2.825845713,2.825845713,25.80208398,90,120,178.4359301,3.013333333,6,116,255.8776,2.381217453,-54.61500772,0.7882,2.3615
50,-1.693,0.416,-24.735,0,3,2,3,6.011,0,0.214777714,2.629004884,2.629004884,25.78174677,90,120,154.3212583,2.846666667,6,80,167.9898,1.807616324,-52.81306523,0.286,2.6513
51,-0.534,1.321,-14.629,0,4,2,3,14.449,134.9964889,0.285411952,4.101480929,4.101986412,31.44095587,89.98323558,119.9754421,458.2143226,2.165,8,332,775.112,2.808955752,-28.41201692,0.9465,
52,-1.256,2.493,-23.386,0,4,2,3,16.78,0,0.123750404,4.995348189,3.360291101,40.50654677,90,90,679.9357675,2.7,8,232,538.8376,1.315949135,-44.9929529,2.0386,
53,-1.609,0,-60.017,0,7,3,3,7.993,116.5650512,0.288482559,3.038223969,3.038223969,34.99895692,90,120,279.785565,2.371428571,14,188,399.2424,2.369520394,-139.3504652,0,
55,-2.099,4.157,-11.295,0,3,2,3,19.068,45,0.256063673,4.685592691,4.685592691,28.43003935,90,120,540.5516031,2.27,6,252,594.27,1.825558458,-28.52108539,4.0543,6.4015
56,-1.816,3.873,-10.232,0,3,2,3,23.344,0,0.262108849,5.182932771,5.182932771,28.24165375,90,120,657.0098898,2.07,6,324,782.27188,1.97712856,-26.36031298,4.0771,6.4408
