Number,lattice_a,lattice_b,lattice_gamma,lattice_volume,composition_average_electrons,composition_num_atoms,composition_total_electrons,composition_weight,density,lattice area,monolayer PBE,monolayer hse,monolayer area,monolayer vaccun level,monolayer magnetic,pbe,gw
466,3.969662132,3.969662132,120,368.7962125,2.41,6,268,625.00468,2.814141395,15.75821744,0.106,1.904,13.647,3.513,1,0,0
471,2.839603667,2.839603667,120,173.1635517,2.93,6,88,181.3844,1.739372283,8.063348986,1.281,3.311,6.983,2.95,0,1.1034,3.1004
477,3.54174768,3.54174768,120,282.214545,2.336666667,6,192,433.2268,2.54908912,12.54397663,0.06,0.299,10.863,3.541,0,0,0
481,4.487087054,4.487087054,120,482.2431341,2.75,6,304,734.016,2.527484908,20.13395023,2.004,2.926,17.437,2.797,0,2.727,4.2339
492,4.392461656,4.392461656,120,450.3858831,2.883333333,6,232,556.212,2.050712045,19.2937194,2.367,3.406,16.709,2.721,0,3.1019,4.8682
494,3.306668804,3.306668804,120,394.8987206,2.312222222,18,648,1575.977813,6.626946581,10.93405858,0,0,9.469,6.818,0,0,
499,3.078828145,3.078828145,120,331.7089923,2.418888889,18,248,530.9938128,2.658161192,9.479182746,0,0,8.209,6.635,0,0,
500,4.660089701,4.660089701,120,535.4280753,2.55,6,376,922.01788,2.859481563,21.71643602,1.499,2.3,18.807,3.145,0,2.5145,3.7159
502,3.731473291,3.731473291,120,318.7568637,2.84,6,160,354.652,1.847531985,13.92389292,0.463,2.086,12.058,3.032,1,0,0
504,3.306371051,3.306371051,120,389.730573,2.205555556,18,388,865.8538,3.68917442,10.93208953,0,0,9.467,7.226,0,0,
505,3.093824249,3.093824249,120,206.538793,3.026666667,6,124,276.8376,2.225730301,9.571748484,1.379,2.875,8.289,3.038,0,1.2295,2.4602
508,3.222560451,3.222560451,120,366.7353308,2.355555556,18,650,1575.9578,7.135771425,10.38489586,0,0,8.994,8.012,0,0,
510,3.002951611,3.002951611,120,309.3849851,2.462222222,18,250,530.9738,2.849856266,9.017718378,0,0,7.81,7.615,0,0,0
512,2.924162851,2.924162851,120,292.2722792,2.338888889,18,252,543.5938,3.088417225,8.550728379,0,0,7.405,7.707,0,0,
514,3.147845169,3.147845169,120,212.5752325,3.053333333,6,188,454.1656,3.547730903,9.908929208,1.674,3.15,8.581,3.191,0,1.5516,3.7757
519,4.356287451,8.872839312,104.2105167,1661.243056,2.008571429,14,716,1735.272,1.734536639,38.65263855,1.08,1.649,37.47,1.797,0,0.9631,1.8035
520,3.573632144,3.573632144,120,286.7617191,2.48,6,220,518.428,3.002039289,12.7708467,1.688,2.488,11.06,3.656,0,1.5114,2.9901
521,3.748260201,3.748260201,120,319.2006644,2.46,6,292,706.008,3.672780154,14.04945453,1.167,1.636,12.167,3.674,0,0.857,1.8179
523,3.780400469,3.780400469,120,325.1047239,2.706666667,6,228,521.756,2.664975799,14.29142771,1.045,2.542,12.377,3.303,0,0.9986,2.6115
525,3.740951636,3.740951636,120,329.80295,2.403333333,6,166,371.78,1.871891122,13.99471914,0,0,12.12,3.616,0,0,0
527,3.694467003,3.694467003,120,330.5696061,2.426666667,6,182,409.527824,2.057167199,13.64908644,0.157,0.757,11.82,3.37,1,0,0
530,3.518158385,3.518158385,120,294.3136618,2.56,6,110,231.723824,1.307402654,12.37743842,0.107,0.736,10.719,3.405,1,0,0
536,3.978743379,3.978743379,120,391.2672408,2.226666667,6,254,597.529704,2.535917433,15.83039888,0.106,0.573,13.71,3.917,1,0,0
537,3.072473501,3.072473501,120,282.4158537,2.415714286,14,136,283.51876,1.667023897,9.440093414,0,0,8.175,3.608,0,0,0
540,3.945378834,3.945378834,120,362.1574053,2.153333333,6,178,405.751824,1.860425177,15.56601414,0.56,1.49,13.481,3.198,1,1.7364,3.2435
541,3.009419739,3.009419739,120,267.6805153,2.441428571,14,140,295.81676,1.835080472,9.056607165,0,0,7.843,3.516,0,0,0
543,3.304802442,3.305135941,119.9894269,254.4616689,2.353333333,6,92,184.431,1.203540328,10.92282133,1.383,2.216,9.46,3.706,0,1.479,2.8374
547,4.000000334,4.000000334,90,535.1696837,2.371428571,14,382,861.1856,2.672110129,16.00000267,0,0,16,4.42,0,0,0
550,4.575838343,4.575838343,120,514.6798161,2.426666667,6,312,745.03788,2.40375563,20.93829654,1.837,2.49,18.133,3.117,0,2.0624,3.238
556,3.059664751,3.059664751,120,278.1684423,2.485714286,14,138,287.51076,1.716308453,9.361548389,0,0,8.107,3.92,0,0,0
558,3.219508068,3.219508068,120,224.7356632,2.946666667,6,132,301.4176,2.227130723,10.3652322,2.683,4.204,8.977,3.254,0,2.2848,4.4761
560,3.695956041,3.695956041,120,318.3482986,2.373333333,6,164,365.68,1.907426327,13.66009106,1.587,2.361,11.83,3.612,0,1.7392,3.0958
566,3.864841016,3.864841016,120,354.0332241,2.353333333,6,236,553.26,2.594982,14.93699608,0.762,1.333,12.936,3.631,0,0.9311,1.929
572,4.122271548,4.122271548,120,413.90693,2.053333333,6,308,747.82,3.0001535,16.99312272,0,0,14.716,3.715,0,0,0
576,4.611978288,4.611978288,120,502.2004483,2.29,6,216,494.856,1.636254454,21.27034373,4.929,6.062,18.421,2.614,0,4.7964,7.4094
578,3.570694402,3.570694402,120,590.9227301,2.195714286,14,232,476.1361544,1.337979816,12.74985851,0.848,2.579,11.179,3.169,0,0.7705,
585,4.838915918,4.838915918,120,571.487267,2.09,6,288,682.85788,1.984142521,23.41510726,3.418,4.355,18.61,3.203,0,4.2547,6.5987
587,4.462777731,4.462777731,120,458.5452274,2.423333333,6,144,317.052,1.148146793,19.91638508,5.738,7.047,17.248,2.542,0,5.4798,8.299
598,3.340923605,3.340923605,120,263.5360187,2.22,6,210,490.15576,3.088468863,11.16177053,0,0,9.666,4.299,0,0,
602,3.502904119,3.502904119,120,293.379302,2.2,6,282,677.73576,3.836012625,12.27033727,0,0,10.626,4.278,0,0,
607,3.919497893,3.919497893,120,732.7721561,2.104285714,14,348,788.2161544,1.78618102,15.36246373,1.064,1.984,13.304,2.983,0,1.1112,
609,3.691379273,3.691379273,120,334.2769994,1.9,6,354,872.29576,4.333176346,13.62628094,0,0,11.801,4.495,0,0,
612,3.34923009,3.34923009,120,279.6732868,1.86,6,376,931.6556,5.531634924,11.2173422,0,0,9.715,5.403,0,0,
614,3.472043853,3.472043853,120,289.9756788,2.486666667,6,184,415.35,2.378492238,12.05508852,0.758,1.166,10.44,3.665,0,0.7475,
617,4.336260735,4.336260735,120,940.895589,1.998571429,14,798,1966.59769,3.470748859,18.80315716,0.11,0.656,16.284,3.529,1,0,
620,3.279027792,3.279027792,120,254.6091168,2.62,6,112,237.546,1.549254866,10.75202326,0.903,1.395,9.312,3.748,0,0.8898,
621,3.768923761,3.768923761,120,347.6149982,2.286666667,6,256,603.35188,2.88218107,14.20478632,0.596,0.828,12.302,4.024,0,0.8371,
625,3.495285892,3.495285892,120,290.7395247,2.213333333,6,180,411.574,2.350676973,12.21702347,0.522,1.46,10.58,3.98,0,0.4145,
632,3.744247023,3.744247023,120,339.3248258,1.913333333,6,252,606.134,2.966211459,14.01938577,0,0,12.141,4.1,0,0,
633,4.367990393,4.367990393,120,485.2298352,2.313333333,6,374,916.38448,3.13602363,19.07934007,0,0,16.523,3.357,0,0,
638,3.659792787,3.659792787,120,304.8434321,2.65,6,114,243.695,1.327452145,13.39408324,1.354,3.894,11.6,3.055,1,0,
640,5.896130828,5.896130829,90,927.3114101,2.491428571,14,672,1611.426276,2.88558542,34.76435875,0.592,1.247,34.764,2.951,0,0.9511,
642,3.66599199,3.665662094,120.0029771,626.1192803,2.264285714,14,308,652.7988,1.731296167,13.43828787,0.17,1.961,11.638,3.109,1,0,
644,4.389930654,4.389930654,120,974.8397859,2.118571429,14,784,1922.24,3.274337652,19.27149115,0.302,0.704,16.69,3.584,0,0.5363,
648,4.670572228,5.853687316,113.5121013,991.0054731,2.877142857,14,212,446.3092,0.747840332,27.34006941,2.053,3.842,25.07,1.067,0,1.8381,
653,6.236205362,6.236205445,90,1046.273061,2.088571429,14,752,1819.9528,2.888445508,38.89025783,0.587,13.18,38.89,3.042,0,0.942,
656,6.828513885,6.877687181,90,1218.849569,3.028571429,14,528,1283.541476,1.748674176,46.96438241,2.962,4.436,46.964,1.478,0,2.5646,
658,3.598359715,3.598359715,120,314.0639706,1.943333333,6,254,612.283,3.237301749,12.94819264,0.212,0.854,11.213,4.309,1,0,
662,2.834121831,2.834121831,120,180.5014637,3.08,6,180,431.6776,3.97125599,8.032246553,1.34,2.097,6.956,4.252,0,1.2409,
665,3.18594595,3.18594595,120,239.8998122,2.506666667,6,212,495.94,3.432798622,10.1502516,1.534,2.055,8.79,4.645,0,1.6664,
666,3.319006624,3.319006624,120,264.4202715,2.486666667,6,284,683.52,4.292453285,11.01580497,1.238,1.73,9.54,4.689,0,1.5277,
669,3.550076222,3.550076222,120,308.3126669,2.186666667,6,356,878.08,4.729245018,12.60304118,0.727,1.141,10.915,4.833,0,1.3449,
673,3.866502534,3.866502534,120,367.3804207,2.38,6,218,497.4277,2.248345535,14.94984185,0.344,0.901,12.947,3.476,1,0,
676,3.729912358,3.729912358,120,334.8791578,2.513333333,6,146,319.6237,1.584893022,13.9122462,0.374,0.999,12.048,3.476,1,0,
679,4.104663042,4.104663042,120,423.2836302,2.18,6,290,685.42958,2.688936008,16.84825869,0.142,0.544,14.591,3.811,1,0,
685,3.918152203,3.918210988,120.0004963,729.3834133,2.218571429,14,384,846.61,1.927421098,15.35214701,0.019,0.87,13.295,3.183,0,0.5118,
691,3.757087524,3.757087524,90,495.7879506,2.06,16,518,1148.514957,3.846713001,14.11570666,0,0,14.116,4.84,0,0,
693,3.598874994,3.598874994,120,296.9039189,2.656666667,6,128,272.63,1.52477868,12.95190122,4.453,5.929,11.217,2.984,0,4.4264,
695,3.786113661,3.786113661,90,502.81175,2.085,16,554,1233.99788,4.075286004,14.33465665,0,0,14.335,4.818,0,0,
700,4.225534626,4.22553438,90,498.5148033,2.323333333,6,272,638.43588,2.126612316,17.85514184,2.431,3.419,17.855,2.619,0,2.4973,
705,3.392703018,3.392703018,120,290.5331179,1.79,6,412,1018.3696,5.820481042,11.51043377,0,0,9.968,5.793,0,0,
707,3.562289363,3.562289363,120,311.0632072,2.416666667,6,220,502.064,2.680152672,12.68990551,0.828,1.276,10.99,3.869,0,1.2773,
711,3.410114698,3.410114698,120,280.2894364,2.55,6,148,324.26,1.92103707,11.62888225,0.981,1.5,10.071,3.919,0,0.9456,
712,3.829061484,3.829061484,120,365.13424,2.216666667,6,292,690.06588,3.138246778,14.66171185,0.687,1.038,12.697,4.204,0,1.1368,
718,3.682271804,3.682271804,120,314.5017123,2.163333333,6,144,310.708,1.640508627,13.55912564,1.159,2.167,11.743,3.7,0,1.2448,
721,3.794837882,3.794837882,120,340.616372,2.143333333,6,216,498.288,2.429204109,14.40079455,0.337,1.202,12.471,3.819,0,0.5266,
723,3.968095018,3.968095018,120,384.4071288,1.843333333,6,288,692.848,2.992923609,15.74577807,0,0,13.636,4.027,0,0,
731,7.086347398,7.086974342,119.9970737,1160.383666,2.613333333,18,758,1762.7348,2.522519134,50.22076219,0.562,0,43.494,2.859,1,0,
738,6.806883957,6.825276297,119.9108987,1065.843124,2.746666667,18,542,1229.3228,1.915233574,46.45886373,0.778,0,40.271,2.796,1,0,
745,7.452504936,7.462007776,119.957882,1297.918771,2.413333333,18,974,2326.74044,2.976799076,55.61064978,0.169,1.376,48.181,3.341,1,0,
762,6.425907893,6.433274921,119.9621262,950.9120297,2.74,18,470,1052.034,1.837124257,41.33963209,0.467,0,35.815,2.872,1,0,
766,3.437380137,6.429970815,90,641.7332881,2.406666667,12,568,1353.192,3.501498554,22.10225396,0.84,1.334,22.114,3.855,0,0.8363,
769,3.278754849,6.161046168,90,576.0425162,2.54,12,424,997.584,2.875703021,20.20056,0.852,1.475,20.199,3.914,0,0.8505,
774,3.716223601,6.828943077,90,749.0417132,2.206666667,12,712,1729.19576,3.833427515,25.37787943,0.627,1.014,25.378,4.215,0,0.7817,
786,7.249177752,7.249177752,119.9707642,1229.138737,2.406666667,18,902,2149.45164,2.903861307,52.55057808,0.18,1.592,45.524,3.358,1,0.0009,
791,2.935128805,5.018202476,90,382.1594317,3.013333333,12,232,511.7552,2.223651784,14.72907064,0,0,14.729,3.846,0,0,
795,3.284592818,5.962669817,90,552.2371506,2.42,12,440,1015.44,3.053358123,19.58494246,0.041,0.108,19.585,4.449,0,0.1916,
797,4.979311504,5.35339383,90.00126039,1134.016517,3.51,20,236,507.7404512,0.743483752,26.65621548,0.597,3.112,26.656,1.28,1,0.1583,
803,6.746772589,6.746693661,119.9977781,1701.014466,2.363,20,728,1705.112248,1.664539342,45.51840786,1.101,1.979,39.421,1.996,0,1.3097,
814,6.451779096,6.451779096,120.0127067,1545.928647,2.342,20,624,1426.597448,1.532361018,41.6254535,0.91,1.694,36.044,2.023,0,0.836,
818,3.808288267,6.568524898,90,727.0957986,2.306666667,12,588,1386.86128,3.167309369,25.0148363,0,0,25.015,4.158,0,0,
820,6.580011302,6.579759183,120.0012577,1615.589035,2.339,20,660,1516.787448,1.558988554,43.29488979,0.863,1.707,37.494,2.019,0,0.7591,
828,3.165393779,4.737000419,90,378.4417524,3.026666667,12,368,888.9152,3.900411112,14.99447166,0.169,1.005,14.994,3.91,0,0.3649,
836,6.525955632,6.526021645,120.0003346,1587.762458,2.297,20,604,1377.063272,1.440182282,42.58852771,1.634,2.775,36.883,2.021,0,1.7054,
848,6.379877939,6.379463024,118.9612376,1532.144225,2.324,20,608,1389.034448,1.505436582,40.70019541,0.35,1.798,35.611,2.051,1,0.1383,
849,5.483318544,5.582680189,90,722.6985486,2.453333333,12,312,682.2,1.567485853,30.61161381,1.12,2.015,30.612,2.605,0,1.0602,
860,6.139179123,6.428199954,90,957.8726328,2.133333333,12,600,1446.48,2.507574042,39.46387096,1.212,1.743,39.464,2.763,0,0.6664,
861,5.47178924,5.560271077,90,718.2998168,2.48,12,440,1036.856,2.396965521,30.42463145,1.802,2.787,30.425,2.791,0,1.755,
863,6.642418823,6.643404037,119.9995155,1648.760337,2.36,20,692,1616.467848,1.628015881,44.12827202,1.009,2.06,38.216,2.01,0,1.18,
866,6.167028287,6.166672277,119.9927916,1412.390042,2.354,20,408,865.403048,1.017449519,38.03004237,1.546,2.828,32.937,1.989,0,1.4695,
869,3.085762689,4.791091027,90,373.3783562,3.026666667,12,240,532.2752,2.367206746,14.78416993,0.045,0.693,14.784,3.655,0,0.1198,
874,3.454621362,5.566656775,90,522.535095,2.453333333,12,304,660.8,2.099924437,19.23069141,0.725,1.583,19.231,3.932,0,0.7591,
877,6.50287812,6.501443228,120.0134536,1575.35629,2.336,20,624,1428.143048,1.5053657,42.27809292,0.908,2.051,36.609,2.021,0,0.7978,
883,3.814720528,6.143961772,90,650.6291629,2.133333333,12,592,1425.08,3.637096442,23.43749709,0.642,1.071,23.437,4.356,0,0.4401,
884,6.905389925,6.905907697,119.9943647,1779.313929,1.962,20,732,1751.468154,1.634552086,47.68798543,1.115,1.673,41.301,2.094,0,1.3476,
890,3.249582563,5.913353261,90,532.5249993,2.62,12,224,475.092,1.481449373,19.21592965,0.325,0.997,19.213,3.664,0,0.4096,
891,4.656954393,5.657085895,94.40421149,1161.879213,2.91,20,432,978.7192,1.398769724,26.34479101,3.974,5.103,26.267,1.701,0,3.9209,
893,3.749816318,6.672074484,90,712.5615195,2.286666667,12,512,1206.70376,2.812078228,25.01905378,0.155,0.423,25.019,4.018,0,0.2016,
903,2.998756817,5.185807889,90,387.4414574,2.806666667,12,152,319.4632,1.3691904,15.55097676,2.855,5.342,15.563,3.128,0,1.3097,
913,2.946863309,5.047424557,90,387.3753252,3.08,12,360,863.3552,3.700894055,14.87407023,0,0,14.874,3.96,0,0.8224,
916,3.200720952,5.725439486,90,506.6008985,2.506666667,12,424,991.88,3.251189436,18.32553412,0,0,18.326,4.472,0,0.8202,
918,3.49157123,6.313538242,90,637.386999,2.186666667,12,712,1756.16,4.575198885,22.04416849,0,0.044,22.044,4.751,0,0,
924,3.494490158,6.498745023,90,656.2017368,2.416666667,12,440,1004.128,2.540977383,22.70980052,0.591,1.14,22.712,3.766,0,0.7621,
930,3.334222756,6.227726446,90,589.4116274,2.55,12,296,648.52,1.827064051,20.76462723,0.596,1.161,20.766,3.823,0,0.3537,
931,3.773016035,6.91083917,90,766.6397013,2.216666667,12,584,1380.13176,2.989360844,26.074707,0.429,0.889,26.052,4.111,0,0.6663,
939,6.407259325,6.514737058,118.9513463,898.8149927,2.353333333,24,856,2002.696,3.69993266,41.74160976,1.272,1.854,36.525,4.29,0,1.6695,
952,6.894481536,6.894612961,119.9978219,1767.09697,1.994,20,848,2029.7444,1.907348566,47.53478176,0.125,0.874,41.167,2.144,1,0.3448,
956,6.397474259,6.397750326,119.9985726,974.9086014,2.3,20,564,1279.399448,2.179171219,40.92944303,0.431,0.824,35.446,3.681,1,0.0224,
963,6.819262496,6.819616947,120.005051,1727.860203,1.972,20,776,1851.5264,1.779386964,46.50475808,0.272,1.021,40.272,2.144,1,0,
980,3.443083203,3.443106031,119.9997807,488.2459291,2.318,10,164,345.657048,1.17559,11.85490054,0.883,1.907,10.267,2.683,0,0.9208,
982,3.26764312,3.26764312,120,288.5725244,2.622,10,336,813.9750128,4.683873874,10.67749156,0,0,9.247,4.754,0,0,
984,3.266733145,3.266733145,120,283.087791,2.646,10,132,279.8386608,1.641480288,10.67154544,1.02,2.067,9.242,3.807,0,1.0389,
985,3.048233768,3.048233768,120,246.1355084,2.718,10,136,291.4830128,1.966473399,9.291729104,0,0,8.047,4.525,0,0,
989,3.813076926,6.251952474,90,1199.481658,2.266,20,512,1122.944,1.554581823,23.83917572,1.981,2.831,23.839,2.686,0,1.8912,
992,2.98622195,2.98622195,120,233.4475993,2.754,10,140,303.7810128,2.160828558,8.917521535,0,0,7.723,4.581,0,0,
993,3.286826707,3.286826707,120,292.3929919,2.634,10,208,464.9110128,2.640292075,10.8032298,0,0,9.356,4.698,0,0,
997,3.277080587,3.277080587,120,281.4115345,2.406,10,332,801.979,4.732277455,10.73925717,0.938,1.681,9.3,4.979,0,0.91,
1002,3.127241176,3.127241176,120,256.2743289,2.526,10,208,459.64452,2.9782838,9.779637373,0,0,8.469,5.545,0,0,
1003,3.274862388,3.276172353,119.9867741,290.8110814,2.182,10,240,523.90692,2.99152255,10.72901362,0,0,9.293,6.369,0,0,
1006,6.44897468,7.081937099,117.0849779,1136.180542,2.228,20,756,1785.375048,2.609343238,45.67123304,0.469,1.099,40.663,3.609,0,0,
1010,3.13312838,3.13312838,120,257.6671885,2.486,10,336,811.81052,5.231721938,9.816493446,0,0,8.501,5.65,0,0,
1012,3.032135441,3.032135441,120,237.7920887,2.502,10,132,279.487,1.951701104,9.193845333,0.325,1.295,7.962,4.799,0,0.3077,
1015,2.906522062,2.906522062,120,218.358898,2.538,10,136,291.785,2.218917552,8.447870497,0,0,7.316,5.113,0,0,
1019,3.30031502,3.30031502,120,285.1913117,2.418,10,204,452.915,2.637117684,10.89207923,0.95,1.729,9.433,4.867,0,0.7777,
1031,6.566939,6.568571404,119.9917795,1043.394947,2.342,20,448,967.947048,1.54046547,43.13540773,0.839,1.395,37.359,3.444,0,1.0243,
1042,7.142830922,7.14283728,119.990379,1926.271528,1.996,20,876,2102.814,1.812727201,51.02007899,0.682,1.183,44.189,2.08,0,0.7701,
1044,4.152870149,4.152870149,91.07477631,503.6953239,2.312,10,228,533.47176,1.758703439,17.24633047,2.352,3.319,17.243,2.257,0,1.9151,
1049,6.089940361,6.09125516,120.0123428,1365.405674,2.296,20,352,728.427228,0.885877284,37.09538065,0.108,0,32.122,2.013,0,0.2437,
1050,3.185113797,3.185113797,119.9967092,254.8025851,2.518,10,60,116.63936,0.760134415,10.1449499,3.352,5.028,8.786,1.4,0,3.3562,
1057,6.393184354,6.393184354,120,1514.482613,2.278,20,568,1291.167228,1.415687182,40.87280618,0.1,0,35.397,2.053,1,0,
1059,3.182795475,3.182795475,120,269.1116885,2.744,10,134,283.8306608,1.751361686,10.13018704,0,0,8.773,4.114,0,0,
1060,3.047491518,3.047491518,120,244.3754901,2.816,10,138,295.4750128,2.007761915,9.287204552,0,0,8.043,4.571,0,0,
1066,3.44578903,3.44578903,120,322.0209835,2.688,10,206,459.6304128,2.37013827,11.87346204,0,0,10.283,4.254,0,0,
1067,3.274466869,3.274466869,120,288.4773388,2.732,10,210,468.9030128,2.699108964,10.72213328,0,0,9.286,4.764,0,0,
1078,6.355094408,6.356766733,119.9912978,967.6409146,2.408,20,652,1497.095048,2.56911916,40.39785272,0,0,34.989,3.826,0,0.1396,
1083,6.395820622,6.395579412,120.0012476,973.4545251,2.258,20,336,688.498696,1.17445546,40.90497869,0.827,1.762,35.424,3.444,0,0.7288,
1097,6.685385859,6.685291146,120.0004687,1069.177569,2.24,20,552,1251.238696,1.943298098,44.69375089,0.684,1.214,38.706,3.544,0,0.6138,
1108,6.349099704,6.35030401,119.9937268,970.7899388,2.298,20,588,1333.051048,2.280187767,40.31871331,1.307,2.222,34.919,3.676,0,1.2848,
1113,3.177776524,3.177502885,120.0028488,251.6186757,2.638,10,92,185.41616,1.223640401,10.09739407,1.078,3.272,8.744,1.511,1,0,
1123,4.131860025,4.131860025,119.9940471,517.7608496,2.344,10,500,1215.8916,3.899552282,17.07226727,0.354,0.857,14.786,4.707,0,0.8452,
1126,4.285038577,4.285036163,120.0000186,560.5245274,2.164,10,572,1410.4516,4.178425508,18.36154526,0.158,0.584,15.902,4.741,0,0.879,
1128,6.250060328,6.931692161,116.7970909,1068.25034,2.252,20,412,873.571048,1.357920329,43.32349418,0.759,1.498,38.671,3.409,0,1.1191,
1129,4.102310577,4.102310577,119.9934082,509.5919357,2.35,10,464,1122.1016,3.656442367,16.82895207,0.412,0.972,14.575,4.744,0,1.0642,
1130,4.335357416,4.335435256,119.9994061,576.7554113,2.158,10,608,1504.2416,4.330868673,18.79566139,0.121,0.518,16.278,4.784,0,0.6037,
1133,6.476046833,7.11897615,117.0548958,1144.975221,2.234,20,628,1436.311048,2.08305871,46.10282295,0.394,1.074,41.058,3.577,0,0.7946,
1136,4.226580169,4.226580169,119.9946084,545.3705306,2.17,10,480,1155.36,3.517829271,17.86397992,0.4,0.776,15.472,4.78,0,0.5106,
1143,4.14751389,4.14751389,119.9782279,526.2534386,2.26,10,444,1058.08,3.338663554,17.20187147,0.573,1.022,14.901,4.865,0,0.7099,
1148,6.632317586,6.632627306,119.2385134,1693.618599,2.536,20,572,1267.37752,1.242623272,43.98969072,1.556,2.465,38.385,1.851,0,1.1578,
1150,4.071461932,6.61985441,90,1182.703205,3.014,20,416,933.5128,1.31067073,26.95248523,1.12,2.663,26.952,1.51,0,2.7313,
1153,5.371934475,5.371934475,120.0111112,1187.264618,2.798,20,624,1496.566,2.093135996,28.85768,2.828,4.173,24.989,1.648,0,1.11,
1155,6.76493052,6.796819379,119.8449736,1783.438871,2.524,20,716,1642.53752,1.529347467,45.98001086,1.096,1.866,39.882,1.885,0,2.1644,
1161,6.355004664,6.427956258,119.6252792,1567.579414,2.616,20,428,911.76952,0.965838729,40.849692,1.61,2.526,35.51,1.87,0,0.6834,
1164,4.157879908,7.04664681,90,1449.902578,2.4025,16,640,1514.196,1.734172799,29.29911119,0.833,2.303,29.299,1.565,0,0.4102,
1171,3.919697115,7.735877611,89.9995921,1363.927018,3.112,20,496,1146.9792,1.396411792,30.32229715,2.187,3.613,30.322,1.748,0,3.5126,
1172,3.62098153,3.620982467,90,370.1440309,2.206666667,12,48,95.79336,0.429747891,13.11151063,3.935,5.612,13.112,0.878,0,0,
1173,4.536794679,4.541794283,90,604.7800165,1.92,12,80,160.05576,0.439463665,20.60518814,3.969,5.028,20.605,1.342,0,0,
1174,3.731735658,3.731735658,90,402.3464447,1.68,12,252,563.18318,2.324334375,13.92585102,0,0,13.926,3.266,0,0,
1175,3.797325508,11.86501917,90,2048.329198,2.332,20,716,1658.08818,1.344178564,45.05533995,0.265,1.366,45.055,1.622,1,0,
1176,3.625670198,3.625670198,90,380.2904425,1.683333333,12,180,387.391828,1.691547282,13.14548438,0,0,13.145,3.154,0,0,
1184,3.717415777,3.717415777,120,342.7644886,2.573333333,6,168,373.7812,1.810801018,13.81918006,1.387,2.037,11.968,3.096,0,0.9737,
1187,3.917641781,11.4144093,90,2045.556631,2.272,20,788,1846.09006,1.498616376,44.71756678,0.054,0.701,44.718,1.756,1,0.3033,
1201,3.982340982,3.982340982,120,395.6675758,2.413333333,6,240,564.8512,2.370569492,15.8590397,1.237,1.839,13.734,3.16,0,0.6587,
1210,3.650384871,3.650384871,120,329.0956937,2.64,6,132,284.8792,1.437433093,13.32530971,1.535,2.258,11.54,3.073,0,1.1667,
1217,3.756362166,3.756362166,120,349.3293004,2.63,6,168,378.6692,1.800006467,14.11025672,1.373,2.06,12.22,3.078,0,0.6899,
1224,3.929547981,3.929547981,120,383.1369828,2.48,6,204,475.9492,2.06279288,15.44134733,1.479,2.147,13.373,3.124,0,0.5045,
1230,3.843696739,3.843696739,120,367.7225825,2.473333333,6,204,467.78214,2.112381874,14.77400462,1.336,1.95,12.795,3.315,0,1.3335,
1236,3.934236431,3.934236431,120,386.7143195,2.463333333,6,240,561.57214,2.411373022,15.4782163,1.151,1.685,13.405,3.326,0,1.39,
1238,4.087693686,4.087693686,120,419.1242378,2.313333333,6,276,658.85214,2.61032319,16.70923967,0.982,1.502,14.471,3.369,0,1.2734,
1251,4.107282544,4.107282544,120,421.516502,2.52,6,268,641.8988,2.528721958,16.8697699,0.891,1.6,14.61,3.065,0,1.6967,
1263,4.343247071,4.343247071,120,474.8171043,2.36,6,340,832.9688,2.913073731,18.86379512,0.591,1.159,16.337,3.12,0,1.0894,
1280,4.068235126,4.068235126,120,411.1671284,2.586666667,6,232,552.9968,2.233332206,16.55053704,1.002,1.745,14.333,3.01,0,1.6376,
1288,4.146042106,4.146042106,120,428.5274344,2.576666667,6,268,646.7868,2.506291693,17.18966514,0.851,1.509,14.887,3.038,0,1.2319,
1308,4.193010731,4.193010731,120,441.7826802,2.42,6,304,735.89974,2.766043854,17.58133899,0.777,1.474,15.226,3.283,0,1.9193,
1320,4.272419363,4.272419363,120,460.6742743,2.41,6,340,829.68974,2.990686269,18.25356721,0.607,1.216,15.808,3.302,0,1.4771,
1326,4.421906786,4.421906786,120,495.7011909,2.26,6,376,926.96974,3.105236572,19.55325962,0.412,0.929,16.934,3.325,0,1.253,
1340,3.429983148,3.429983148,120,283.3027668,2.473333333,6,248,587.694,3.444685194,11.7647844,0.832,1.361,10.189,4.077,0,0.6734,
1345,3.379437001,3.379437001,120,272.0871631,2.553333333,6,148,326.448,1.992301478,11.42059444,0.83,1.297,9.891,3.71,0,0.5288,
1349,3.749080778,3.749080778,120,344.2531108,2.583333333,6,150,332.597,1.604314659,14.05560668,1.289,3.751,12.173,2.78,1,0,
1361,3.488192171,3.488192171,120,292.5601294,2.483333333,6,184,413.162,2.345061998,12.16748462,0.912,1.397,10.537,3.955,0,0.647,
1365,3.643676064,3.643676064,120,322.2388487,2.306666667,6,320,770.59694,3.970987138,13.27637526,0.713,1.157,11.498,4.29,0,1.1085,
1372,3.632776763,3.632776763,120,316.9901764,2.386666667,6,220,509.35094,2.668212448,13.19706701,0.679,1.037,11.429,3.908,0,0.6178,
1380,3.98848359,3.98848359,120,392.882415,2.416666667,6,222,515.49994,2.178788759,15.90800135,1.188,3.5,13.777,3,1,0,
1385,3.702825866,3.702825866,120,332.4028046,2.316666667,6,256,596.06494,2.977679808,13.71091939,0.774,1.174,11.874,4.163,0,1.0026,
