Number,lattice_a,lattice_b,lattice_gamma,lattice_volume,composition_average_electrons,composition_num_atoms,composition_total_electrons,composition_weight,density,lattice area,monolayer PBE,monolayer hse,monolayer area,monolayer vaccun level,monolayer magnetic,pbe,gw
63,3.732044966,3.732044966,120,321.9270787,2.6,6,194,437.48239,2.256587431,13.92815963,0.348,3.528,12.062,3.14,1,0,0
64,3.612695092,3.612695092,120,305.0268968,2.026666667,6,262,628.26639,3.420225875,13.05156583,0,0,11.303,4.166,0,0,0
66,3.571816271,3.571816271,120,302.5758455,2.583333333,6,192,431.306,2.367011357,12.75787147,0.263,0.145,11.049,3.426,1,0.1938,0
68,3.92261722,3.923060236,119.9962645,372.8567191,2.115,8,184,389.896,1.736424494,15.38866364,2.557,3.771,13.327,3.073,0,2.61,
70,4.147414308,4.147414308,120,418.9106762,2.376666667,6,274,647.06388,2.56492592,17.20104544,0,0,14.897,3.311,0,0,0
71,4.07531412,4.075596923,119.9977046,406.6352969,2.1,8,256,577.476,2.358185493,16.60933769,1.621,2.634,14.384,3.199,0,1.8327,4.1568
74,2.903772361,2.903772361,120,181.9553457,2.963333333,6,96,209.2776,1.909884149,8.431893925,3.641,5.355,7.302,3.436,0,3.3853,6.1383
78,3.88353341,3.88353341,120,353.0207895,2.41,6,164,368.226,1.73206133,15.08183175,4.588,5.744,13.061,2.86,0,4.5923,7.2902
81,3.910151978,3.910153291,90,414.9521334,2.623333333,6,118,251.68809,1.007195463,15.28929363,2.025,5.019,15.289,2.236,1,0,0
85,4.050771281,4.050771281,119.9965133,494.6261519,2.356,10,428,1028.3116,3.452206435,16.40874797,0.47,1.041,14.211,4.698,0,1.064,1.6623
88,3.783418494,3.783418494,120,327.4883865,2.036666667,6,264,627.7868,3.183210611,14.3142555,0,0,12.397,3.825,0,0,0
91,3.508238988,3.509063648,119.9849922,289.2296504,2.333333333,6,164,372.011,2.1358073,12.3106339,0.467,1.072,10.663,3.756,0,0.7805,1.8385
93,3.717462151,3.717462151,120,647.160747,2.121428571,14,204,413.0561544,1.059853961,13.81952484,2.048,3.143,11.968,2.945,0,2.0304,3.8776
95,6.205938326,6.205939457,90,1036.215715,2.06,14,688,1644.1528,2.634760231,38.51367753,0.313,1.115,38.514,3.043,0,0.6707,2.1906
98,3.924600342,3.92460019,90,421.658158,2.523333333,6,200,450.434,1.773861693,15.40248725,3.272,4.507,15.402,2.324,0,3.1675,6.4325
99,3.0723732,6.621408414,90,558.5964712,2.236666667,12,324,739.6061544,2.198626337,20.34343776,0,0,20.343,3.888,0,0,0
100,3.227478826,5.324237783,90,457.5982866,2.33,12,232,479.9,1.741467836,17.18386471,0.654,1.331,17.184,3.963,0,0.6627,0
101,3.665239652,6.314595824,90,1016.395374,2.543333333,12,184,380.844,0.622205056,23.144507,4.504,5.908,23.145,1.53,0,4.3917,7.6847
